target_id	length	eff_length	est_counts	tpm
ENSMUST00000194935.1|ENSMUSG00000104238.1|OTTMUSG00000050024.2|OTTMUST00000127269.2|Gm37587-202|Gm37587|475|lncRNA|	475	274.617	0	0
ENSMUST00000195361.1|ENSMUSG00000102269.1|OTTMUSG00000050025.1|OTTMUST00000127274.1|Gm7357-201|Gm7357|2991|processed_pseudogene|	2991	2789.65	4	0.0671461
ENSMUST00000180019.1|ENSMUSG00000096126.1|-|-|Gm22307-201|Gm22307|107|snRNA|	107	33.1917	0	0
ENSMUST00000193889.1|ENSMUSG00000103003.1|OTTMUSG00000050027.1|OTTMUST00000127279.1|Gm38076-201|Gm38076|450|processed_pseudogene|	450	250.118	0	0
ENSMUST00000195771.1|ENSMUSG00000104328.1|OTTMUSG00000050028.1|OTTMUST00000127280.1|Gm37323-201|Gm37323|2773|lncRNA|	2773	2571.65	3	0.0546285
ENSMUST00000192738.1|ENSMUSG00000102735.1|OTTMUSG00000050029.1|OTTMUST00000127281.1|Gm7369-201|Gm7369|936|processed_pseudogene|	936	734.654	0	0
ENSMUST00000182774.1|ENSMUSG00000098104.1|OTTMUSG00000043092.1|OTTMUST00000113080.1|Gm6085-201|Gm6085|1470|processed_pseudogene|	1470	1268.65	0	0
ENSMUST00000193443.1|ENSMUSG00000102175.1|OTTMUSG00000050009.1|OTTMUST00000127231.1|Gm6119-201|Gm6119|1206|processed_pseudogene|	1206	1004.65	0	0
ENSMUST00000157375.1|ENSMUSG00000088000.1|-|-|Gm25493-201|Gm25493|103|snRNA|	103	32.0455	0	0
ENSMUST00000195671.1|ENSMUSG00000103265.1|OTTMUSG00000050030.1|OTTMUST00000127282.1|Gm2053-201|Gm2053|631|processed_pseudogene|	631	429.74	0	0
ENSMUST00000193658.1|ENSMUSG00000103922.1|OTTMUSG00000050042.1|OTTMUST00000127307.1|Gm6123-201|Gm6123|1069|processed_pseudogene|	1069	867.654	1.01053	0.0545398
ENSMUST00000130201.7|ENSMUSG00000033845.13|OTTMUSG00000029329.3|OTTMUST00000072660.1|Mrpl15-203|Mrpl15|1894|protein_coding|	1894	1692.65	242.152	6.69933
ENSMUST00000156816.6|ENSMUSG00000033845.13|OTTMUSG00000029329.3|OTTMUST00000072659.1|Mrpl15-206|Mrpl15|4203|protein_coding|	4203	4001.65	234.872	2.74854
ENSMUST00000045689.13|ENSMUSG00000033845.13|OTTMUSG00000029329.3|OTTMUST00000072661.1|Mrpl15-201|Mrpl15|497|nonsense_mediated_decay|	497	296.325	78.8998	12.4686
ENSMUST00000115538.4|ENSMUSG00000033845.13|OTTMUSG00000029329.3|OTTMUST00000072664.1|Mrpl15-202|Mrpl15|910|processed_transcript|	910	708.654	871.399	57.5829
ENSMUST00000192286.1|ENSMUSG00000033845.13|OTTMUSG00000029329.3|OTTMUST00000127355.1|Mrpl15-207|Mrpl15|4600|retained_intron|	4600	4398.65	30.9779	0.329795
ENSMUST00000146665.2|ENSMUSG00000033845.13|OTTMUSG00000029329.3|OTTMUST00000072662.2|Mrpl15-205|Mrpl15|1569|protein_coding|	1569	1367.65	133.977	4.58737
ENSMUST00000132625.1|ENSMUSG00000033845.13|OTTMUSG00000029329.3|OTTMUST00000072663.1|Mrpl15-204|Mrpl15|654|retained_intron|	654	452.722	3.72309	0.385108
ENSMUST00000195445.1|ENSMUSG00000102275.1|OTTMUSG00000050076.1|OTTMUST00000127357.1|Gm37144-201|Gm37144|1150|TEC|	1150	948.654	36.266	1.79021
ENSMUST00000134384.7|ENSMUSG00000025903.14|OTTMUSG00000021562.4|OTTMUST00000051163.2|Lypla1-205|Lypla1|1136|nonsense_mediated_decay|	1136	934.654	14.2014	0.711527
ENSMUST00000027036.10|ENSMUSG00000025903.14|OTTMUSG00000021562.4|OTTMUST00000051162.1|Lypla1-201|Lypla1|2507|protein_coding|	2507	2305.65	2815.4	57.1817
ENSMUST00000150971.7|ENSMUSG00000025903.14|OTTMUSG00000021562.4|OTTMUST00000051164.3|Lypla1-208|Lypla1|877|protein_coding|	877	675.654	635.096	44.0176
ENSMUST00000119612.8|ENSMUSG00000025903.14|OTTMUSG00000021562.4|OTTMUST00000051170.2|Lypla1-203|Lypla1|529|protein_coding|	529	328.043	0	0
ENSMUST00000137887.7|ENSMUSG00000025903.14|OTTMUSG00000021562.4|OTTMUST00000051168.2|Lypla1-206|Lypla1|444|protein_coding|	444	244.218	41.8395	8.02268
ENSMUST00000115529.7|ENSMUSG00000025903.14|OTTMUSG00000021562.4|OTTMUST00000051169.1|Lypla1-202|Lypla1|930|protein_coding|	930	728.654	68.0948	4.37627
ENSMUST00000131119.1|ENSMUSG00000025903.14|OTTMUSG00000021562.4|OTTMUST00000051167.3|Lypla1-204|Lypla1|660|protein_coding|	660	458.713	21.458	2.19058
ENSMUST00000141278.1|ENSMUSG00000025903.14|OTTMUSG00000021562.4|OTTMUST00000051165.1|Lypla1-207|Lypla1|4456|retained_intron|	4456	4254.65	31.5471	0.347221
ENSMUST00000155020.1|ENSMUSG00000104217.1|OTTMUSG00000050100.1|OTTMUST00000127419.1|Gm37988-201|Gm37988|825|nonsense_mediated_decay|	825	623.654	8.15903	0.612641
ENSMUST00000081551.13|ENSMUSG00000033813.15|OTTMUSG00000042348.1|OTTMUST00000111602.1|Tcea1-201|Tcea1|2547|protein_coding|	2547	2345.65	1221.78	24.3916
ENSMUST00000165720.2|ENSMUSG00000033813.15|OTTMUSG00000042348.1|OTTMUST00000111603.1|Tcea1-202|Tcea1|2854|protein_coding|	2854	2652.65	11.5814	0.204452
ENSMUST00000078030.4|ENSMUSG00000062588.4|OTTMUSG00000050078.1|OTTMUST00000127359.1|Gm6104-201|Gm6104|603|processed_pseudogene|	603	401.807	0	0
ENSMUST00000194052.1|ENSMUSG00000103280.1|OTTMUSG00000050140.1|OTTMUST00000127484.1|Gm37277-201|Gm37277|1111|TEC|	1111	909.654	2	0.102959
ENSMUST00000002533.14|ENSMUSG00000002459.17|OTTMUSG00000029338.4|OTTMUST00000072687.1|Rgs20-201|Rgs20|1778|protein_coding|	1778	1576.65	3.52429	0.104676
ENSMUST00000118000.7|ENSMUSG00000002459.17|OTTMUSG00000029338.4|OTTMUST00000072688.2|Rgs20-202|Rgs20|2125|protein_coding|	2125	1923.65	0	0
ENSMUST00000119256.7|ENSMUSG00000002459.17|OTTMUSG00000029338.4|OTTMUST00000072706.2|Rgs20-203|Rgs20|883|protein_coding|	883	681.654	0	0
ENSMUST00000170566.1|ENSMUSG00000002459.17|OTTMUSG00000029338.4|OTTMUST00000092053.1|Rgs20-207|Rgs20|577|nonsense_mediated_decay|	577	375.854	0	0
ENSMUST00000147158.1|ENSMUSG00000002459.17|OTTMUSG00000029338.4|OTTMUST00000072705.2|Rgs20-205|Rgs20|707|protein_coding|	707	505.665	0	0
ENSMUST00000156289.1|ENSMUSG00000002459.17|OTTMUSG00000029338.4|OTTMUST00000072707.1|Rgs20-206|Rgs20|1531|retained_intron|	1531	1329.65	3	0.105656
ENSMUST00000133521.1|ENSMUSG00000002459.17|OTTMUSG00000029338.4|OTTMUST00000072704.1|Rgs20-204|Rgs20|670|processed_transcript|	670	468.695	0	0
ENSMUST00000168963.1|ENSMUSG00000091305.1|OTTMUSG00000035898.1|OTTMUST00000092054.1|Gm17100-201|Gm17100|272|processed_pseudogene|	272	85.9262	0	0
ENSMUST00000194114.1|ENSMUSG00000102653.1|OTTMUSG00000050102.1|OTTMUST00000127423.1|Gm37079-201|Gm37079|2135|TEC|	2135	1933.65	0	0
ENSMUST00000144339.1|ENSMUSG00000085623.1|OTTMUSG00000029344.1|OTTMUST00000072703.1|Gm16041-201|Gm16041|3725|lncRNA|	3725	3523.65	0	0
ENSMUST00000169520.1|ENSMUSG00000091665.1|OTTMUSG00000035899.1|OTTMUST00000092055.1|Gm17101-201|Gm17101|1588|processed_pseudogene|	1588	1386.65	0	0
ENSMUST00000192847.5|ENSMUSG00000033793.12|OTTMUSG00000050145.9|OTTMUST00000127492.1|Atp6v1h-205|Atp6v1h|1662|protein_coding|	1662	1460.65	5.92063	0.189816
ENSMUST00000044369.12|ENSMUSG00000033793.12|OTTMUSG00000050145.9|OTTMUST00000127490.4|Atp6v1h-201|Atp6v1h|2049|protein_coding|	2049	1847.65	1052.5	26.6755
ENSMUST00000194676.5|ENSMUSG00000033793.12|OTTMUSG00000050145.9|OTTMUST00000127609.1|Atp6v1h-207|Atp6v1h|970|protein_coding|	970	768.654	17.1328	1.04378
ENSMUST00000194301.5|ENSMUSG00000033793.12|OTTMUSG00000050145.9|OTTMUST00000127495.1|Atp6v1h-206|Atp6v1h|4829|retained_intron|	4829	4627.65	4.12127	0.0417043
ENSMUST00000194978.5|ENSMUSG00000033793.12|OTTMUSG00000050145.9|OTTMUST00000127491.1|Atp6v1h-208|Atp6v1h|2510|retained_intron|	2510	2308.65	0	0
ENSMUST00000192029.5|ENSMUSG00000033793.12|OTTMUSG00000050145.9|OTTMUST00000127610.2|Atp6v1h-202|Atp6v1h|385|protein_coding|	385	187.171	0	0
ENSMUST00000192698.2|ENSMUSG00000033793.12|OTTMUSG00000050145.9|OTTMUST00000127529.3|Atp6v1h-204|Atp6v1h|1811|protein_coding|	1811	1609.65	102.327	2.97694
ENSMUST00000192142.1|ENSMUSG00000033793.12|OTTMUSG00000050145.9|OTTMUST00000127528.1|Atp6v1h-203|Atp6v1h|2318|retained_intron|	2318	2116.65	0	0
ENSMUST00000193351.1|ENSMUSG00000104352.1|OTTMUSG00000050143.1|OTTMUST00000127487.1|Gm7182-201|Gm7182|732|processed_pseudogene|	732	530.665	0	0
ENSMUST00000193241.1|ENSMUSG00000104046.1|OTTMUSG00000050142.1|OTTMUST00000127486.1|Gm37567-201|Gm37567|2279|TEC|	2279	2077.65	8.05339	0.181517
ENSMUST00000194850.1|ENSMUSG00000102907.1|OTTMUSG00000050141.1|OTTMUST00000127485.1|Gm38264-201|Gm38264|2032|TEC|	2032	1830.65	0	0
ENSMUST00000192685.1|ENSMUSG00000025905.14|OTTMUSG00000034734.3|OTTMUST00000127488.1|Oprk1-205|Oprk1|2846|retained_intron|	2846	2644.65	0	0
ENSMUST00000160777.7|ENSMUSG00000025905.14|OTTMUSG00000034734.3|OTTMUST00000088255.1|Oprk1-204|Oprk1|4675|protein_coding|	4675	4473.65	0	0
ENSMUST00000239100.1|ENSMUSG00000025905.14|OTTMUSG00000034734.3|OTTMUST00000181702.1|Oprk1-206|Oprk1|4675|protein_coding|	4675	4473.65	0	0
ENSMUST00000027038.10|ENSMUSG00000025905.14|OTTMUSG00000034734.3|OTTMUST00000088256.1|Oprk1-201|Oprk1|1376|protein_coding|	1376	1174.65	0	0
ENSMUST00000160339.1|ENSMUSG00000025905.14|OTTMUSG00000034734.3|OTTMUST00000088257.1|Oprk1-203|Oprk1|2481|protein_coding|	2481	2279.65	0	0
ENSMUST00000159083.1|ENSMUSG00000025905.14|OTTMUSG00000034734.3|OTTMUST00000088258.1|Oprk1-202|Oprk1|3327|retained_intron|	3327	3125.65	0	0
ENSMUST00000193797.1|ENSMUSG00000103936.1|OTTMUSG00000050226.1|OTTMUST00000127611.1|Gm36965-201|Gm36965|394|processed_pseudogene|	394	195.769	0	0
ENSMUST00000175274.1|ENSMUSG00000093015.1|-|-|Gm22463-201|Gm22463|101|miRNA|	101	32.4118	0	0
ENSMUST00000193807.1|ENSMUSG00000103519.1|OTTMUSG00000050227.1|OTTMUST00000127612.1|Gm37429-201|Gm37429|1799|TEC|	1799	1597.65	2.00931	0.0588945
ENSMUST00000044180.4|ENSMUSG00000033774.4|OTTMUSG00000050228.1|OTTMUST00000127613.1|Npbwr1-201|Npbwr1|3692|protein_coding|	3692	3490.65	0	0
ENSMUST00000191956.1|ENSMUSG00000103090.1|OTTMUSG00000050229.1|OTTMUST00000127614.1|Gm19214-201|Gm19214|1083|processed_pseudogene|	1083	881.654	0	0
ENSMUST00000159906.7|ENSMUSG00000025907.14|OTTMUSG00000033467.12|OTTMUST00000084214.2|Rb1cc1-208|Rb1cc1|656|protein_coding|	656	454.713	0	0
ENSMUST00000160871.7|ENSMUSG00000025907.14|OTTMUSG00000033467.12|OTTMUST00000084960.2|Rb1cc1-210|Rb1cc1|690|protein_coding|	690	488.685	0	0
ENSMUST00000027040.12|ENSMUSG00000025907.14|OTTMUSG00000033467.12|OTTMUST00000084091.5|Rb1cc1-201|Rb1cc1|7607|protein_coding|	7607	7405.65	674.213	4.26329
ENSMUST00000162210.7|ENSMUSG00000025907.14|OTTMUSG00000033467.12|OTTMUST00000084094.1|Rb1cc1-213|Rb1cc1|1151|retained_intron|	1151	949.654	0	0
ENSMUST00000160062.7|ENSMUSG00000025907.14|OTTMUSG00000033467.12|OTTMUST00000084213.3|Rb1cc1-209|Rb1cc1|520|protein_coding|	520	319.115	0	0
ENSMUST00000162795.7|ENSMUSG00000025907.14|OTTMUSG00000033467.12|OTTMUST00000084945.2|Rb1cc1-216|Rb1cc1|2712|protein_coding|	2712	2510.65	139.45	2.60101
ENSMUST00000161327.7|ENSMUSG00000025907.14|OTTMUSG00000033467.12|OTTMUST00000084200.2|Rb1cc1-212|Rb1cc1|5707|protein_coding|	5707	5505.65	195.964	1.66678
ENSMUST00000159802.1|ENSMUSG00000025907.14|OTTMUSG00000033467.12|OTTMUST00000084201.1|Rb1cc1-207|Rb1cc1|4136|retained_intron|	4136	3934.65	5.14934	0.0612852
ENSMUST00000162257.7|ENSMUSG00000025907.14|OTTMUSG00000033467.12|OTTMUST00000084948.1|Rb1cc1-214|Rb1cc1|2204|nonsense_mediated_decay|	2204	2002.65	222.123	5.19395
ENSMUST00000159206.1|ENSMUSG00000025907.14|OTTMUSG00000033467.12|OTTMUST00000085003.1|Rb1cc1-202|Rb1cc1|519|processed_transcript|	519	318.128	4.57028	0.672748
ENSMUST00000159661.7|ENSMUSG00000025907.14|OTTMUSG00000033467.12|OTTMUST00000085004.1|Rb1cc1-206|Rb1cc1|875|retained_intron|	875	673.654	12.1406	0.843942
ENSMUST00000161183.1|ENSMUSG00000025907.14|OTTMUSG00000033467.12|OTTMUST00000085346.1|Rb1cc1-211|Rb1cc1|332|retained_intron|	332	137.756	0	0
ENSMUST00000159349.1|ENSMUSG00000025907.14|OTTMUSG00000033467.12|OTTMUST00000084215.1|Rb1cc1-203|Rb1cc1|633|retained_intron|	633	431.74	0	0
ENSMUST00000159530.1|ENSMUSG00000025907.14|OTTMUSG00000033467.12|OTTMUST00000084202.1|Rb1cc1-204|Rb1cc1|898|protein_coding|	898	696.654	40.9102	2.74995
ENSMUST00000162418.1|ENSMUSG00000025907.14|OTTMUSG00000033467.12|OTTMUST00000084203.1|Rb1cc1-215|Rb1cc1|2150|retained_intron|	2150	1948.65	4.0433	0.0971654
ENSMUST00000159656.1|ENSMUSG00000025907.14|OTTMUSG00000033467.12|OTTMUST00000084204.1|Rb1cc1-205|Rb1cc1|1599|retained_intron|	1599	1397.65	0	0
ENSMUST00000191825.1|ENSMUSG00000090031.2|OTTMUSG00000033728.2|OTTMUST00000127624.1|4732440D04Rik-203|4732440D04Rik|5428|lncRNA|	5428	5226.65	21.6645	0.194104
ENSMUST00000159618.1|ENSMUSG00000090031.2|OTTMUSG00000033728.2|OTTMUST00000084958.2|4732440D04Rik-202|4732440D04Rik|413|lncRNA|	413	214.064	0	0
ENSMUST00000097832.1|ENSMUSG00000090031.2|OTTMUSG00000033728.2|-|4732440D04Rik-201|4732440D04Rik|681|lncRNA|	681	479.695	0	0
ENSMUST00000133144.3|ENSMUSG00000087247.3|OTTMUSG00000050239.2|OTTMUST00000127625.2|Alkal1-201|Alkal1|971|protein_coding|	971	769.654	0	0
ENSMUST00000193588.1|ENSMUSG00000103355.1|OTTMUSG00000050242.1|OTTMUST00000127628.1|Gm2147-201|Gm2147|639|processed_pseudogene|	639	437.74	0	0
ENSMUST00000192950.1|ENSMUSG00000102706.1|OTTMUSG00000050241.1|OTTMUST00000127627.1|Gm7417-201|Gm7417|473|processed_pseudogene|	473	272.656	0	0
ENSMUST00000194240.1|ENSMUSG00000103845.1|OTTMUSG00000050243.1|OTTMUST00000127629.1|Gm19026-201|Gm19026|4530|processed_pseudogene|	4530	4328.65	1	0.0108183
ENSMUST00000140079.7|ENSMUSG00000033740.17|OTTMUSG00000024833.6|OTTMUST00000061167.3|St18-208|St18|5892|protein_coding|	5892	5690.65	0	0
ENSMUST00000131494.7|ENSMUSG00000033740.17|OTTMUSG00000024833.6|OTTMUST00000061171.2|St18-204|St18|5720|protein_coding|	5720	5518.65	0	0
ENSMUST00000043578.12|ENSMUSG00000033740.17|OTTMUSG00000024833.6|OTTMUST00000061164.2|St18-201|St18|5862|protein_coding|	5862	5660.65	0	0
ENSMUST00000139756.7|ENSMUSG00000033740.17|OTTMUSG00000024833.6|OTTMUST00000061235.3|St18-206|St18|435|protein_coding|	435	235.407	0	0
ENSMUST00000131467.7|ENSMUSG00000033740.17|OTTMUSG00000024833.6|OTTMUST00000061236.2|St18-203|St18|585|protein_coding|	585	383.838	0	0
ENSMUST00000150761.7|ENSMUSG00000033740.17|OTTMUSG00000024833.6|OTTMUST00000061165.1|St18-210|St18|4264|protein_coding|	4264	4062.65	0	0
ENSMUST00000151281.7|ENSMUSG00000033740.17|OTTMUSG00000024833.6|OTTMUST00000061166.1|St18-212|St18|3533|protein_coding|	3533	3331.65	0	0
ENSMUST00000139838.7|ENSMUSG00000033740.17|OTTMUSG00000024833.6|OTTMUST00000061237.2|St18-207|St18|792|protein_coding|	792	590.654	0	0
ENSMUST00000163727.3|ENSMUSG00000033740.17|OTTMUSG00000024833.6|-|St18-213|St18|5604|protein_coding|	5604	5402.65	0	0
ENSMUST00000132207.1|ENSMUSG00000033740.17|OTTMUSG00000024833.6|OTTMUST00000061240.2|St18-205|St18|684|nonsense_mediated_decay|	684	482.685	0	0
ENSMUST00000142304.1|ENSMUSG00000033740.17|OTTMUSG00000024833.6|OTTMUST00000061241.1|St18-209|St18|445|processed_transcript|	445	245.208	0	0
ENSMUST00000151015.1|ENSMUSG00000033740.17|OTTMUSG00000024833.6|OTTMUST00000061242.1|St18-211|St18|817|processed_transcript|	817	615.654	0	0
ENSMUST00000130338.1|ENSMUSG00000033740.17|OTTMUSG00000024833.6|OTTMUST00000061243.2|St18-202|St18|720|protein_coding|	720	518.665	0	0
ENSMUST00000195780.2|ENSMUSG00000103329.2|OTTMUSG00000054318.1|OTTMUST00000134772.1|Gm42492-201|Gm42492|2915|TEC|	2915	2713.65	0	0
ENSMUST00000194393.1|ENSMUSG00000104385.1|OTTMUSG00000050289.1|OTTMUST00000127723.1|Gm7449-201|Gm7449|663|processed_pseudogene|	663	461.704	0	0
ENSMUST00000194605.1|ENSMUSG00000102135.1|OTTMUSG00000050281.1|OTTMUST00000127703.1|Gm37108-201|Gm37108|626|processed_pseudogene|	626	424.749	1.00634	0.110949
ENSMUST00000191703.1|ENSMUSG00000103282.1|OTTMUSG00000050290.1|OTTMUST00000127724.1|Gm37275-201|Gm37275|30|processed_pseudogene|	30	12.1818	0	0
ENSMUST00000193423.1|ENSMUSG00000102534.1|OTTMUSG00000050280.1|OTTMUST00000127702.1|Gm37225-201|Gm37225|325|processed_pseudogene|	325	131.383	0	0
ENSMUST00000191883.1|ENSMUSG00000102213.1|OTTMUSG00000050259.1|OTTMUST00000127670.1|Gm37489-201|Gm37489|159|processed_pseudogene|	159	9.70813	0	0
ENSMUST00000195648.1|ENSMUSG00000103629.1|OTTMUSG00000050258.1|OTTMUST00000127669.1|Gm5694-201|Gm5694|641|processed_pseudogene|	641	439.74	0	0
ENSMUST00000061280.16|ENSMUSG00000051285.17|OTTMUSG00000043373.5|OTTMUST00000113805.2|Pcmtd1-201|Pcmtd1|5232|protein_coding|	5232	5030.65	3696.08	34.4055
ENSMUST00000182114.7|ENSMUSG00000051285.17|OTTMUSG00000043373.5|OTTMUST00000113813.2|Pcmtd1-202|Pcmtd1|770|protein_coding|	770	568.654	8.61279	0.709262
ENSMUST00000182306.1|ENSMUSG00000051285.17|OTTMUSG00000043373.5|OTTMUST00000113808.1|Pcmtd1-203|Pcmtd1|419|processed_transcript|	419	219.888	0	0
ENSMUST00000182823.1|ENSMUSG00000051285.17|OTTMUSG00000043373.5|OTTMUST00000113814.2|Pcmtd1-206|Pcmtd1|2659|processed_transcript|	2659	2457.65	0	0
ENSMUST00000182675.7|ENSMUSG00000051285.17|OTTMUSG00000043373.5|OTTMUST00000113809.1|Pcmtd1-205|Pcmtd1|1153|nonsense_mediated_decay|	1153	951.654	0	0
ENSMUST00000182388.7|ENSMUSG00000051285.17|OTTMUSG00000043373.5|OTTMUST00000113815.1|Pcmtd1-204|Pcmtd1|701|retained_intron|	701	499.665	17.2242	1.61425
ENSMUST00000182892.7|ENSMUSG00000051285.17|OTTMUSG00000043373.5|OTTMUST00000113810.1|Pcmtd1-207|Pcmtd1|4207|retained_intron|	4207	4005.65	32.6635	0.381857
ENSMUST00000183204.1|ENSMUSG00000051285.17|OTTMUSG00000043373.5|OTTMUST00000113811.1|Pcmtd1-208|Pcmtd1|3986|retained_intron|	3986	3784.65	47.4167	0.5867
ENSMUST00000182051.1|ENSMUSG00000098201.1|OTTMUSG00000043535.1|OTTMUST00000114182.1|Gm26983-201|Gm26983|388|processed_pseudogene|	388	190.033	0	0
ENSMUST00000194854.1|ENSMUSG00000103509.1|OTTMUSG00000043377.1|OTTMUST00000113816.1|Gm38372-201|Gm38372|4028|TEC|	4028	3826.65	12.0066	0.14693
ENSMUST00000029124.7|ENSMUSG00000048538.7|OTTMUSG00000050237.1|OTTMUST00000127622.1|Gm9826-201|Gm9826|1299|processed_pseudogene|	1299	1097.65	133.058	5.67657
